setup_id,cash_log_id,weights,prediction_type,predicted_variant,recommended_algorithm,chosen_config_hash,n_train_instances,real_score,full_best_score,full_worst_score,action_best_score,action_worst_score,regret_full,regret_action,accuracy_full,accuracy_action,rank_full,rank_action,n_full_configs,n_action_configs,predicted_composite
B0_apdtm_cls_apdtm_features_original,bpi2013_incidents,gene,variant,AM,alpha_miner_classic,ed85abd9c8a01ce2,800,0.8824986163548602,0.9924026869731328,0.0,0.9374222306098524,0.871132170779936,0.1099040706182726,0.0549236142549922,0.8892545616200572,0.1714653087368996,143,3,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_incidents,simp,variant,AM,alpha_miner_classic,ed85abd9c8a01ce2,800,1.0,1.0,0.0,1.0,0.6216216216216216,0.0,0.0,1.0,1.0,1,1,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_incidents,fit+pre,variant,AM,alpha_miner_classic,ed85abd9c8a01ce2,800,0.4130663259890726,0.9765794350540196,0.0,0.9404450614048588,0.4130663259890726,0.5635131090649469,0.5273787354157861,0.4229725828357463,0.0,180,5,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_incidents,fit+gen,variant,AM,alpha_miner_classic,ed85abd9c8a01ce2,800,0.5543076911444477,0.9948630084104292,0.0,0.9687111153049262,0.5543076911444477,0.4405553172659814,0.4144034241604785,0.5571698680706891,0.0,179,5,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_incidents,fit+sim,variant,AM,alpha_miner_classic,ed85abd9c8a01ce2,800,0.6130583829670175,0.8762171658937965,0.0,0.8421052631578947,0.6130583829670175,0.2631587829267789,0.2290468801908771,0.6996648854073287,0.0,172,5,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_incidents,pre+gen,variant,AM,alpha_miner_classic,ed85abd9c8a01ce2,800,0.7412572511994853,0.9962013434865664,0.0,0.893748585925811,0.7412572511994853,0.2549440922870811,0.1524913347263257,0.7440837698583981,0.0,172,5,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_incidents,pre+sim,variant,AM,alpha_miner_classic,ed85abd9c8a01ce2,800,0.8000079430220551,1.0,0.0,0.8000079430220551,0.6462487440701031,0.1999920569779448,0.0,0.8000079430220551,1.0,111,1,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_incidents,gen+sim,variant,AM,alpha_miner_classic,ed85abd9c8a01ce2,800,0.94124930817743,0.9962013434865664,0.0,0.94124930817743,0.7620188930903955,0.0549520353091363,0.0,0.944838424813992,1.0,4,1,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_incidents,mix-fit,variant,AM,alpha_miner_classic,ed85abd9c8a01ce2,800,0.5587013338223332,0.9349837317539984,0.0,0.8784138891748832,0.5587013338223332,0.376282397931665,0.3197125553525499,0.597551930421536,0.0,180,5,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_incidents,mix-prec,variant,AM,alpha_miner_classic,ed85abd9c8a01ce2,800,0.6499792925109092,0.9521545943141788,0.0,0.8860812375503471,0.6499792925109092,0.3021753018032695,0.2361019450394378,0.6826405043805712,0.0,178,5,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_incidents,mix-simp,variant,AM,alpha_miner_classic,ed85abd9c8a01ce2,800,0.7043363416555937,0.893388028453977,0.0,0.8237417114451061,0.7043363416555937,0.1890516867983833,0.1194053697895124,0.788387933599759,0.0,172,5,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_incidents,mix-gen,variant,AM,alpha_miner_classic,ed85abd9c8a01ce2,800,0.7956143003441696,0.9176337438459292,0.0,0.8240500653203712,0.7736190326066823,0.1220194435017596,0.0284357649762015,0.8670281642103097,0.436145495222368,159,3,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,equal,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.8830533310680836,0.9162455491114012,0.0,0.9162455491114012,0.7971612190845068,0.0331922180433176,0.0331922180433176,0.9637736651757728,0.7212713206194185,21,2,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,fitn,variant,IM,inductive_miner_im,16728b2313b05e00,801,1.0,1.0,0.0,1.0,0.5167192429022083,0.0,0.0,1.0,1.0,1,1,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,prec,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.9065645824471856,1.0,0.0,1.0,0.9065645824471856,0.0934354175528143,0.0934354175528143,0.9065645824471856,0.0,170,4,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,gene,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.933341049517457,0.9656228232165908,0.0,0.96197551956781,0.8611132579521872,0.0322817736991337,0.028634470050353,0.9665689615831576,0.7161032323518933,64,3,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,simp,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.6923076923076922,1.0,0.0,0.7391304347826086,0.625,0.3076923076923078,0.0468227424749164,0.6923076923076922,0.5897435897435889,97,3,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,fit+pre,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.9532822912235928,0.9819381210475931,0.0,0.9819381210475931,0.7583596214511041,0.0286558298240005,0.0286558298240005,0.9708170716567875,0.871831012929606,44,3,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,fit+gen,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.9666705247587284,0.9828114116082952,0.0,0.975860335679935,0.7371795810261562,0.0161408868495668,0.0091898109212065,0.9835768219020234,0.96149747835959,18,2,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,fit+sim,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.846153846153846,0.8644377932873344,0.0,0.8644377932873344,0.6155024785939613,0.0182839471334883,0.0182839471334883,0.9788487416035374,0.9265514129403069,3,2,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,pre+gen,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.9199528159823214,0.9793652708841788,0.0,0.978819959575052,0.9115847807508796,0.0594124549018574,0.0588671435927307,0.939335754832087,0.124459180116487,69,3,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,pre+sim,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.7994361373774389,0.9951923076923076,0.0,0.8571428571428572,0.7935281517747859,0.1957561703148688,0.0577067197654183,0.8032981477029337,0.0928713819936718,147,3,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,gen+sim,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.8128243709125746,0.978819959575052,0.0,0.8505529771752094,0.7430566289760936,0.1659955886624774,0.0377286062626347,0.8304125421241478,0.6490242980835969,58,3,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,mix-fit,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.90376501814744,0.9321610267210648,0.0,0.9321610267210648,0.7453088319330367,0.0283960085736247,0.0283960085736247,0.969537442824112,0.8480295690086046,29,2,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,mix-prec,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.9118589170648804,0.9501071658282664,0.0,0.9501071658282664,0.8620643957540444,0.0382482487633859,0.0382482487633859,0.959743226723227,0.5655719517781894,46,2,196,5,
