setup_id,weights,n_logs,mean_accuracy_full
C0_cash_reg_apdtm_features_cash_real_default,fit+pre,16,0.6430504026773305
C0_cash_reg_apdtm_features_cash_real_default,fit+sim,16,0.594592598975567
C0_cash_reg_apdtm_features_cash_real_default,fitn,16,0.9350311549721194
C0_cash_reg_apdtm_features_cash_real_default,gen+sim,16,0.5777260348587
C0_cash_reg_apdtm_features_cash_real_default,gene,16,0.7179528574803034
C0_cash_reg_apdtm_features_cash_real_default,mix-fit,16,0.6270368334957699
C0_cash_reg_apdtm_features_cash_real_default,mix-gen,16,0.5838524417701456
C0_cash_reg_apdtm_features_cash_real_default,mix-prec,16,0.6141039561128541
C0_cash_reg_apdtm_features_cash_real_default,mix-simp,16,0.571403864920172
C0_cash_reg_apdtm_features_cash_real_default,pre+gen,16,0.5934867734272591
C0_cash_reg_apdtm_features_cash_real_default,pre+sim,16,0.5538837413662719
C0_cash_reg_apdtm_features_cash_real_default,prec,16,0.6090641685235455
C0_cash_reg_apdtm_features_cash_real_default,simp,16,0.5151180165666176
C1_cash_reg_cash_features_cash_real_default,equal,18,0.8293284969556534
C1_cash_reg_cash_features_cash_real_default,fit+gen,18,0.9767661322797933
C1_cash_reg_cash_features_cash_real_default,fit+pre,18,0.8404803976798167
C1_cash_reg_cash_features_cash_real_default,fit+sim,18,0.8942176190259133
C1_cash_reg_cash_features_cash_real_default,fitn,18,0.9994302862106701
C1_cash_reg_cash_features_cash_real_default,gen+sim,18,0.7432641903722204
C1_cash_reg_cash_features_cash_real_default,gene,18,0.9221794280520678
C1_cash_reg_cash_features_cash_real_default,mix-fit,18,0.8519338271589576
C1_cash_reg_cash_features_cash_real_default,mix-gen,18,0.7889180957185709
C1_cash_reg_cash_features_cash_real_default,mix-prec,18,0.7964235526344117
C1_cash_reg_cash_features_cash_real_default,mix-simp,18,0.8524832691535147
C1_cash_reg_cash_features_cash_real_default,pre+gen,18,0.7356939040278789
C1_cash_reg_cash_features_cash_real_default,pre+sim,18,0.6503263325959447
C1_cash_reg_cash_features_cash_real_default,prec,18,0.6419068494441252
C1_cash_reg_cash_features_cash_real_default,simp,18,0.5954156810309374
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,equal,18,0.8172918396957717
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,fit+gen,18,0.9719509834091047
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,fit+pre,18,0.831803174294536
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,fit+sim,18,0.8937878795599821
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,fitn,18,0.9976293753465681
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,gen+sim,18,0.8055966541872446
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,gene,18,0.9170505885856785
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,mix-fit,18,0.836780814961609
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,mix-gen,18,0.7808107967217082
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,mix-prec,18,0.7919718697824537
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,mix-simp,18,0.856891503970755
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,pre+gen,18,0.7183718377964631
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,pre+sim,18,0.628002762642682
