setup_id,cash_log_id,weights,prediction_type,predicted_variant,recommended_algorithm,chosen_config_hash,n_train_instances,real_score,full_best_score,full_worst_score,action_best_score,action_worst_score,regret_full,regret_action,accuracy_full,accuracy_action,rank_full,rank_action,n_full_configs,n_action_configs,predicted_composite
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,equal,candidate,HM,heuristics_miner,d99ed3042679ac1a,16626,0.7409333668296147,0.8454937775108162,0.5286517401070808,0.8454937775108162,0.6344315801454322,0.1045604106812014,0.1045604106812014,0.6699919886326019,0.5045990613838351,108,38,176,87,0.8120828874622339
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,fitn,candidate,IMf,inductive_miner_imf,f7a2cef805c17273,16626,0.9901061747072456,1.0,0.601333432048148,1.0,0.631230892297019,0.0098938252927543,0.0098938252927543,0.9751827063312988,0.9731706775700876,8,8,176,87,0.9997923900159896
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,prec,candidate,HM,heuristics_miner,a980bfe3ebdce767,16626,0.3828605521505668,1.0,0.1394427299083702,1.0,0.1394427299083702,0.6171394478494332,0.6171394478494332,0.2828606888839347,0.2828606888839347,154,67,176,87,0.8337623007513111
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,gene,candidate,AM,alpha_miner_classic,f5dfdeada5f4e603,16626,0.9832966969411556,0.9846855427449372,0.7903916159300588,0.9846855427449372,0.7903916159300588,0.0013888458037816,0.0013888458037816,0.9928518311068728,0.9928518311068728,11,5,176,87,0.9629095182249612
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,simp,candidate,HM,heuristics_miner,97d5c9b164ae888c,16626,0.6197183098591549,0.853658536585366,0.1222222222222222,0.853658536585366,0.4444444444444444,0.233940226726211,0.233940226726211,0.6801632320786518,0.4283182538942261,37,25,176,87,0.6894695030299366
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,fit+pre,candidate,HM,heuristics_miner,a980bfe3ebdce767,16626,0.587344168966916,0.9301612956045748,0.3882467160435721,0.9301612956045748,0.3882467160435721,0.3428171266376588,0.3428171266376588,0.36739637653711,0.36739637653711,159,75,176,87,0.8548828822957273
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,fit+gen,candidate,IMf,inductive_miner_imf,7e2c5e206ff9ce37,16626,0.9881819570423424,0.9923427713724686,0.7038801515511357,0.9923427713724686,0.7840331977464351,0.0041608143301261,0.0041608143301261,0.985575897727396,0.9800258132274045,5,5,176,87,0.9757704616434996
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,fit+sim,candidate,IMf,inductive_miner_imf,da01a502b50ae65f,16626,0.7534151481583533,0.8121921418178204,0.4454279944971664,0.8121921418178204,0.5834069149930922,0.058776993659467,0.058776993659467,0.8397417138811017,0.7430909570726085,45,40,176,87,0.8143117456929407
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,pre+gen,candidate,HM,heuristics_miner,a980bfe3ebdce767,16626,0.6571467397603457,0.9634656515705696,0.5478586290034753,0.9634656515705696,0.5478586290034753,0.3063189118102238,0.3063189118102238,0.2629602119854153,0.2629602119854153,153,67,176,87,0.8725955914316106
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,pre+sim,candidate,HM,heuristics_miner,d99ed3042679ac1a,16626,0.5630053685489242,0.8077460186427269,0.1856657567548425,0.786257565667103,0.2919435871764073,0.2447406500938026,0.2232521971181787,0.6065770526924201,0.5483595309203237,130,51,176,87,0.7298545416205814
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,gen+sim,candidate,HM,heuristics_miner,97d5c9b164ae888c,16626,0.7577129459114091,0.9184776167632608,0.552894047463518,0.9184776167632608,0.6817345950959122,0.1607646708518516,0.1607646708518516,0.5602519249981929,0.3209317439660602,57,40,176,87,0.7957315114348673
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,mix-fit,candidate,HM,heuristics_miner,d99ed3042679ac1a,16626,0.7347431514216973,0.8579335371394458,0.5005980086410388,0.8579335371394458,0.565132495867034,0.1231903857177484,0.1231903857177484,0.6552529040831225,0.5792693045680243,110,42,176,87,0.8163060240991421
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,mix-prec,candidate,HM,heuristics_miner,d99ed3042679ac1a,16626,0.7353989559592128,0.9094815824532986,0.5562367471790169,0.9094815824532986,0.5647060571163371,0.1740826264940858,0.1740826264940858,0.5071898889649242,0.4950841527282175,112,39,176,87,0.8423672717206634
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,mix-simp,candidate,HM,heuristics_miner,e26e5e46f99ccbb3,16626,0.7469688952085023,0.8154342316428806,0.5010667330351446,0.7908151071731038,0.6531919454159001,0.0684653364343783,0.0438462119646014,0.7822124210117263,0.6814038319948247,57,46,176,87,0.7942788481550058
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2012,mix-gen,candidate,HM,heuristics_miner,d99ed3042679ac1a,16626,0.7471235822375321,0.858090575541927,0.5567054715731229,0.8354900416856049,0.6550960964129823,0.1109669933043949,0.0883664594480728,0.6318099606015002,0.5101473094646944,110,38,176,87,0.8078597508253258
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,bpi2013_closed_problems,equal,candidate,HM,heuristics_miner,c89f61e1b47b72ac,16691,0.8816242514064788,0.9163782860150956,0.6927060462506165,0.9163782860150956,0.771082125833427,0.0347540346086169,0.0347540346086169,0.8446207064175153,0.7608055535317467,17,13,190,87,0.8952260470168871
