log,variant,status,error_type,error_message,discovery_time,fitness_time,precision_time,generalization_time,simplicity_time,log_fitness,precision,generalization,simplicity
bpi2013_open_problems,AM,ok,,,0.0014891624450683,0.0133218765258789,0.0081408023834228,0.0465061664581298,7.581710815429688e-05,0.5167192429022083,1.0,0.9576399191501042,0.7142857142857143
bpi2013_open_problems,HM,ok,,,0.0055890083312988,0.0207178592681884,0.0375947952270507,0.0210621356964111,4.2438507080078125e-05,0.994787287708088,0.9620563035495716,0.8611132579521872,0.625
bpi2013_open_problems,IM,ok,,,0.002652883529663,0.0466408729553222,0.0563099384307861,0.0220310688018798,4.410743713378906e-05,1.0,0.9065645824471856,0.933341049517457,0.6923076923076922
bpi2013_open_problems,IMf,ok,,,0.0021131038665771,0.020190954208374,0.0562238693237304,0.0211820602416992,3.1948089599609375e-05,1.0,0.9065645824471856,0.933341049517457,0.6923076923076922
bpi2013_open_problems,IMd,ok,,,0.0011520385742187,0.0171678066253662,0.0318720340728759,0.0178759098052978,2.5033950805664062e-05,0.98974515179206,0.9741310903031264,0.96197551956781,0.7391304347826086
bpi2013_closed_problems,AM,ok,,,0.031876802444458,0.0237951278686523,0.0198867321014404,0.0241057872772216,2.5272369384765625e-05,0.6403632397723371,1.0,0.9023236894363824,1.0
bpi2013_closed_problems,HM,ok,,,0.0063991546630859,0.0388929843902587,0.153609037399292,0.0408589839935302,2.694129943847656e-05,0.9944995246502784,0.8684298767708944,0.7139696253234955,0.6190476190476191
bpi2013_closed_problems,IM,ok,,,0.0064456462860107,0.0474863052368164,0.2151329517364502,0.049391746520996,2.8133392333984375e-05,1.0,0.793213587855103,0.8770683921112377,0.6603773584905661
bpi2013_closed_problems,IMf,ok,,,0.006843090057373,0.0755047798156738,0.2247202396392822,0.0517239570617675,3.314018249511719e-05,1.0,0.793213587855103,0.8770683921112377,0.6603773584905661
bpi2013_closed_problems,IMd,ok,,,0.0023939609527587,0.0433521270751953,0.1731529235839843,0.0447289943695068,2.5987625122070312e-05,1.0,0.7923798798798799,0.9417621438127408,0.6842105263157894
sepsis,AM,ok,,,0.0050849914550781,0.2412781715393066,0.5720970630645752,0.2178797721862793,3.0994415283203125e-05,0.2658896119719338,0.4426422388436003,0.9131789227698268,0.4782608695652174
sepsis,HM,ok,,,0.0254781246185302,0.5737941265106201,1.6762080192565918,0.5943691730499268,4.482269287109375e-05,0.89721291069021,0.7033112582781457,0.8413894545208539,0.4331983805668016
sepsis,IM,ok,,,0.1742970943450927,0.5161926746368408,9.343623161315918,0.492171049118042,4.673004150390625e-05,1.0,0.2576207541934074,0.9024534736155712,0.6223776223776223
sepsis,IMf,ok,,,0.1971502304077148,0.4901928901672363,9.27888321876526,0.489743709564209,4.9114227294921875e-05,1.0,0.2576207541934074,0.9024534736155712,0.6223776223776223
sepsis,IMd,ok,,,0.0110828876495361,0.3262968063354492,3.9725401401519775,0.409343957901001,4.1961669921875e-05,1.0,0.179251018798475,0.9266596408851776,0.4545454545454545
bpi2020_prepaid,AM,ok,,,0.0351767539978027,0.1399052143096923,0.0467429161071777,0.1444461345672607,7.295608520507812e-05,0.4702681384715757,0.0,0.8773091720949231,0.1867088607594936
bpi2020_prepaid,HM,ok,,,0.0428159236907959,0.1417028903961181,0.2908353805541992,0.1274287700653076,4.7206878662109375e-05,0.9016178004778508,0.8877260430015663,0.5988575329285628,0.5238095238095238
bpi2020_prepaid,IM,ok,,,0.2184650897979736,0.3021857738494873,2.846893072128296,0.3245627880096435,4.7206878662109375e-05,0.9865754284763762,0.1559987779324221,0.8855338473549144,0.5903614457831325
bpi2020_prepaid,IMf,ok,,,0.2260951995849609,0.3009028434753418,2.839184045791626,0.3265738487243652,4.8160552978515625e-05,0.9865754284763762,0.1559987779324221,0.8855338473549144,0.5903614457831325
bpi2020_prepaid,IMd,ok,,,0.0057559013366699,0.0656449794769287,0.3586039543151855,0.0722291469573974,3.0040740966796875e-05,1.0,0.109501562931129,0.8904211520153033,0.4042553191489361
bpi2020_payment,AM,ok,,,0.0173640251159667,0.0392351150512695,0.0240998268127441,0.0761229991912841,4.220008850097656e-05,0.6986954515961711,0.0,0.783603029532564,0.3333333333333333
bpi2020_payment,HM,ok,,,0.0590720176696777,0.0421380996704101,0.0559720993041992,0.0876197814941406,5.125999450683594e-05,0.9375704546963164,0.8082905921163525,0.6750512131653676,0.5630252100840336
bpi2020_payment,IM,ok,,,0.0338869094848632,0.0514960289001464,0.2156238555908203,0.1058821678161621,5.91278076171875e-05,1.0,0.2933515233338684,0.8669709790187637,0.6000000000000001
bpi2020_payment,IMf,ok,,,0.0321369171142578,0.0500059127807617,0.2525088787078857,0.0717520713806152,5.0067901611328125e-05,1.0,0.2933515233338684,0.8669709790187637,0.6000000000000001
bpi2020_payment,IMd,ok,,,0.0078961849212646,0.0757849216461181,0.0935819149017334,0.0603470802307128,3.314018249511719e-05,1.0,0.177773899909029,0.8350845701975759,0.4647887323943662
bpi2020_domestic,AM,ok,,,0.0328860282897949,0.1163797378540039,0.0363903045654296,0.1036667823791503,4.57763671875e-05,0.723032771051894,0.2499821441325619,0.7850529071958833,0.3541666666666666
bpi2020_domestic,HM,ok,,,0.0576479434967041,0.0540058612823486,0.0721480846405029,0.1121909618377685,4.8160552978515625e-05,0.9251912994498018,0.8670356093278883,0.7516056740657073,0.5869565217391304
bpi2020_domestic,IM,ok,,,0.0397212505340576,0.1042761802673339,0.200618028640747,0.128699779510498,4.8160552978515625e-05,1.0,0.3908057925066429,0.8554073029005208,0.6000000000000001
bpi2020_domestic,IMf,ok,,,0.0393619537353515,0.0614469051361084,0.2354421615600586,0.0918588638305664,5.507469177246094e-05,1.0,0.3908057925066429,0.8554073029005208,0.6000000000000001
bpi2020_domestic,IMd,ok,,,0.0100469589233398,0.0930819511413574,0.1209430694580078,0.1320881843566894,4.482269287109375e-05,1.0,0.1975518121669374,0.8421750047212034,0.4769230769230769
bpi2020_international,AM,ok,,,0.0349740982055664,0.4300239086151123,0.3229708671569824,0.441195011138916,5.221366882324219e-05,0.543631678095892,0.0,0.8987121474400191,0.2668810289389067
bpi2020_international,HM,ok,,,0.0852627754211425,0.6000640392303467,0.9733610153198242,0.6108801364898682,6.604194641113281e-05,0.9008728252313236,0.914192461570857,0.673505998949668,0.5
bpi2020_international,IM,ok,,,0.3429579734802246,0.9885389804840088,14.000832080841064,1.0174760818481443,8.487701416015625e-05,0.9707533277618512,0.225696298955442,0.8766720880937127,0.6222222222222222
bpi2020_international,IMf,ok,,,0.3636460304260254,0.9948327541351318,14.347684144973757,1.0585110187530518,8.487701416015625e-05,0.9707533277618512,0.225696298955442,0.8766720880937127,0.6222222222222222
bpi2020_international,IMd,ok,,,0.0177199840545654,0.3530819416046142,1.9756309986114504,0.346780776977539,4.8160552978515625e-05,1.0,0.0954493313451283,0.9085268002629592,0.3944954128440366
bpi2020_permit,AM,ok,,,0.0451099872589111,1.5663409233093262,1.806401014328003,1.5785279273986816,6.103515625e-05,0.4198968932593854,0.0,0.8552671808747483,0.419047619047619
bpi2020_permit,HM,ok,,,0.1572308540344238,2.8542721271514893,6.110392093658447,2.876260995864868,0.0001120567321777,0.8863874841474804,0.8137442437123628,0.5988249123488872,0.4759036144578313
bpi2020_permit,IM,ok,,,3.6223862171173096,2.517025947570801,131.1910800933838,3.822504758834839,0.0001440048217773,1.0,0.0980371653000842,0.8616797985629044,0.5946547884187082
bpi2020_permit,IMf,ok,,,5.298885107040405,3.604384899139404,127.44443368911745,3.3305280208587646,0.0001218318939208,1.0,0.0980371653000842,0.8616797985629044,0.5946547884187082
bpi2020_permit,IMd,ok,,,0.0387861728668212,1.1338238716125488,12.573461055755615,1.1326148509979248,5.602836608886719e-05,1.0,0.0701582627715042,0.8652393738255396,0.375
bpic15_2,HM,ok,,,7.337656736373901,135.65795302391052,232.20457410812375,135.8471601009369,0.001101016998291,0.7755888262194399,0.7718767198679142,0.4241032724706359,0.4268320698368941
